precision,names,state,posterior,accuracy,rmsq
precision,names,state,posterior,accuracy,rmsq
0.05,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 1, 1, 1, 1)",0.9802000006206334,1,0.019799999379366606
0.05,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 0, 1, 1, 1)",0.9802000006206334,1,0.019799999379366606
0.05,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 1, 1, 0, 0)",0.010899999667057772,1,0.010899999667057772
0.05,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 0, 1, 0, 0)",0.01089999966705777,1,0.01089999966705777
0.05,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 1, 0, 1, 0, 1)",0.01089999966705777,1,0.01089999966705777
0.05,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 0, 0, 1, 0, 0)",0.01089999966705777,1,0.01089999966705777
0.05,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 1, 0, 1, 0, 1)",0.010899999667057774,1,0.010899999667057774
0.05,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 1, 0, 0)",0.010899999667057772,1,0.010899999667057772
0.05,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 0, 0, 0)",0.010899999667057774,1,0.010899999667057774
precision,names,state,posterior,accuracy,rmsq
0.1,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 1, 1, 1, 1)",0.9802000006206333,1,0.019799999379366717
0.1,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 0, 1, 1, 1)",0.9802000006206333,1,0.019799999379366717
0.1,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 1, 1, 0, 0)",0.01089999966705777,1,0.01089999966705777
0.1,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 0, 1, 0, 0)",0.01089999966705777,1,0.01089999966705777
0.1,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 1, 0, 1, 0, 1)",0.01089999966705777,1,0.01089999966705777
0.1,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 0, 0, 1, 0, 0)",0.01089999966705777,1,0.01089999966705777
0.1,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 1, 0, 1, 0, 1)",0.01089999966705777,1,0.01089999966705777
0.1,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 1, 0, 0)",0.010899999667057767,1,0.010899999667057767
0.1,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 0, 0, 0)",0.01089999966705777,1,0.01089999966705777
precision,names,state,posterior,accuracy,rmsq
0.125,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 1, 1, 1, 1)",0.9802000006206334,1,0.019799999379366606
0.125,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 0, 1, 1, 1)",0.9802000006206336,1,0.019799999379366384
0.125,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 1, 1, 0, 0)",0.011149999639499,1,0.011149999639499
0.125,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 0, 1, 0, 0)",0.011149999639498998,1,0.011149999639498998
0.125,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 1, 0, 1, 0, 1)",0.011149999639499001,1,0.011149999639499001
0.125,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 0, 0, 1, 0, 0)",0.011149999639499001,1,0.011149999639499001
0.125,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 1, 0, 1, 0, 1)",0.011149999639498998,1,0.011149999639498998
0.125,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 1, 0, 0)",0.011149999639499,1,0.011149999639499
0.125,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 0, 0, 0)",0.011149999639499,1,0.011149999639499
precision,names,state,posterior,accuracy,rmsq
0.2,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 1, 1, 1, 1)",0.9802000006206335,1,0.019799999379366495
0.2,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 0, 1, 1, 1)",0.9802000006206334,1,0.019799999379366606
0.2,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 1, 1, 0, 0)",0.01189999963686429,1,0.01189999963686429
0.2,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 0, 1, 0, 0)",0.011899999636864297,1,0.011899999636864297
0.2,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 1, 0, 1, 0, 1)",0.0118999996368643,1,0.0118999996368643
0.2,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 0, 0, 1, 0, 0)",0.011899999636864299,1,0.011899999636864299
0.2,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 1, 0, 1, 0, 1)",0.01189999963686429,1,0.01189999963686429
0.2,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 1, 0, 0)",0.011899999636864288,1,0.011899999636864288
0.2,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 0, 0, 0)",0.01189999963686429,1,0.01189999963686429
precision,names,state,posterior,accuracy,rmsq
0.25,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 1, 1, 1, 1)",0.9802000006206336,1,0.019799999379366384
0.25,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 1, 0, 0, 1, 1, 1)",0.9802000006206336,1,0.019799999379366384
0.25,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 1, 1, 0, 0)",0.009999999683350328,1,0.009999999683350328
0.25,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 1, 0, 0, 0, 1, 0, 0)",0.009999999683350332,1,0.009999999683350332
0.25,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 1, 0, 1, 0, 1)",0.009999999683350328,1,0.009999999683350328
0.25,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(1, 0, 0, 0, 0, 1, 0, 0)",0.009999999683350337,1,0.009999999683350337
0.25,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 1, 0, 1, 0, 1)",0.009999999683350325,1,0.009999999683350325
0.25,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 1, 0, 0)",0.00999999968335034,1,0.00999999968335034
0.25,"['seen_1_0', 'sneak_1_0', 'stealing_1_0', 'object_dropped_accidentally_0', 'E_psych_report_1_0', 'E_camera_1', 'E_camera_sees_object_1_0', 'E_object_gone_0']","(0, 0, 0, 0, 0, 0, 0, 0)",0.009999999683350325,1,0.009999999683350325
